category,defect,defect_name,count
Activity not as advertised,Activity Not As Advertised,Activity not as described,4
Activity not as advertised,Duration Not As Advertised,Duration not as described,5
Activity not as advertised,Attraction Closed,Attraction or stop was closed,3
Meeting point or pickup problems,Unclear Meeting Point Location,Unclear meeting point location,6
Meeting point or pickup problems,Pickup/Guide Late or No Show,Driver/guide were late or did not show up,8
Audio Guide Problems,Audio Guide Broken,Audioguide was broken,2
Trust & Safety Problems,Transport Breakdown,Transportation broke down,7
Payment problems,Refund not received,Refund not received by customer,3
Voucher problems,Unclear Ticket Collection,How to collect tickets/voucher was unclear or not provided,5
